variant,symbol,sweep_short_seen,sweep_long_seen,pending_short_armed,pending_long_armed,entry_short,entry_long,partial1,partial2,be_move,forced_flat,expired_pending,blocked_internal_filter,reject_short_sweep_too_small,reject_long_sweep_too_small,reject_short_zone_too_wide,reject_long_zone_too_wide,reject_short_stop_out_of_bounds,reject_long_stop_out_of_bounds,reject_short_confirmation_missing,reject_long_confirmation_missing,pending_short_not_touched,pending_long_not_touched,apex_kept_trades,apex_rejected_trades,apex_reject_daily_loss,apex_reject_consecutive_losses,apex_final_balance
type2_baseline,MNQ,492,236,263,167,52,35,33,16,33,12,304,0,0,0,0,0,229,69,2236,1213,1821,1265,106,26,25,1,308562.9687499994
type1_sniper,MNQ,530,291,349,227,249,176,159,62,159,32,131,0,0,0,0,0,181,64,0,0,1054,635,550,63,58,5,308562.9687499994
type2_baseline,MES,665,365,140,161,11,29,10,4,10,8,232,0,0,0,0,0,525,204,1313,1188,1005,1345,41,13,12,1,308562.9687499994
type1_sniper,MES,671,390,215,230,164,158,120,57,120,28,110,0,0,0,0,0,456,160,0,0,596,853,402,81,76,5,308562.9687499994
type2_baseline,MYM,417,392,105,139,8,16,7,5,7,3,202,0,0,0,0,0,312,253,766,1124,970,1230,30,5,0,5,308562.9687499994
type1_sniper,MYM,393,386,147,219,91,152,91,47,91,20,113,0,0,0,0,0,246,167,0,0,577,960,317,50,40,10,308562.9687499994
type2_baseline,MGC,249,187,197,133,59,24,30,11,30,6,237,0,13,7,0,0,39,47,1696,1103,1170,1029,110,12,10,2,308562.9687499994
type1_sniper,MGC,319,222,279,177,220,141,141,68,141,13,91,0,12,8,0,0,28,37,0,0,727,374,489,59,51,8,308562.9687499994
type2_baseline,MCL,600,599,15,11,5,4,3,0,3,4,16,0,580,581,0,0,5,7,162,110,30,22,9,2,2,0,308562.9687499994
type1_sniper,MCL,591,593,16,14,15,13,8,3,8,11,2,0,572,577,0,0,3,2,0,0,2,0,29,9,8,1,308562.9687499994
