exit_date_et,trades,gross_pnl_dollars,gross_points,win_rate_pct,month
2025-04-13,1,-260.0,-26.0,0.0,2025-04
2025-04-14,2,415.0,41.5,50.0,2025-04
2025-04-23,1,-357.5,-35.75,0.0,2025-04
2025-04-24,3,-147.5,-14.75,33.33333333333333,2025-04
2025-04-25,1,847.5,84.75,100.0,2025-04
2025-04-29,3,-87.5,-8.75,33.33333333333333,2025-04
2025-04-30,2,252.5,25.25,50.0,2025-04
2025-05-01,1,-277.5,-27.75,0.0,2025-05
2025-05-02,2,-595.0,-59.5,0.0,2025-05
2025-05-08,3,20.0,2.0,33.33333333333333,2025-05
2025-05-11,1,285.0,28.5,100.0,2025-05
2025-05-12,3,6475.0,647.5,100.0,2025-05
2025-05-14,1,-315.0,-31.5,0.0,2025-05
2025-05-26,2,912.5,91.25,100.0,2025-05
2025-05-27,3,-857.5,-85.75,0.0,2025-05
2025-05-29,1,-255.0,-25.5,0.0,2025-05
2025-06-04,2,367.5,36.75,50.0,2025-06
2025-06-05,1,-357.5,-35.75,0.0,2025-06
2025-06-09,2,270.0,27.0,50.0,2025-06
2025-06-16,2,325.0,32.5,50.0,2025-06
2025-06-18,2,280.0,28.0,50.0,2025-06
2025-06-20,4,312.5,31.25,50.0,2025-06
2025-06-24,1,-257.5,-25.75,0.0,2025-06
2025-06-25,4,892.5,89.25,75.0,2025-06
2025-06-26,4,351.0625000000073,35.10625000000073,50.0,2025-06
2025-06-27,4,990.0,99.0,75.0,2025-06
2025-06-29,1,270.0,27.0,100.0,2025-06
2025-06-30,1,500.0,50.0,100.0,2025-06
2025-07-02,2,-45.0,-4.5,50.0,2025-07
2025-07-03,1,500.0,50.0,100.0,2025-07
2025-07-08,1,-252.5,-25.25,0.0,2025-07
2025-07-09,2,545.0,54.5,100.0,2025-07
2025-07-10,2,320.0,32.0,50.0,2025-07
2025-07-15,2,262.5,26.25,50.0,2025-07
2025-07-16,1,-100.0,-10.0,0.0,2025-07
2025-07-17,2,2517.5,251.75,100.0,2025-07
2025-07-20,1,-240.0,-24.0,0.0,2025-07
2025-07-21,2,275.0,27.5,50.0,2025-07
2025-07-23,4,-527.5,-52.75,25.0,2025-07
2025-07-24,1,-255.0,-25.5,0.0,2025-07
2025-07-25,1,-262.5,-26.25,0.0,2025-07
2025-07-28,2,10.0,1.0,50.0,2025-07
2025-07-29,2,757.5,75.75,100.0,2025-07
2025-07-30,1,247.5,24.75,100.0,2025-07
2025-07-31,3,565.0,56.5,66.66666666666666,2025-07
2025-08-05,1,-250.0,-25.0,0.0,2025-08
2025-08-07,2,260.0,26.0,50.0,2025-08
2025-08-08,3,487.5,48.75,66.66666666666666,2025-08
2025-08-10,1,252.5,25.25,100.0,2025-08
2025-08-11,1,-232.5,-23.25,0.0,2025-08
2025-08-13,2,265.0,26.5,50.0,2025-08
2025-08-18,1,-242.5,-24.25,0.0,2025-08
2025-08-20,1,-255.0,-25.5,0.0,2025-08
2025-08-22,2,307.5,30.75,50.0,2025-08
2025-08-26,1,-306.1428571428405,-30.61428571428405,0.0,2025-08
2025-08-28,2,-505.0,-50.5,0.0,2025-08
2025-09-05,4,220.0,22.0,50.0,2025-09
2025-09-08,1,247.5,24.75,100.0,2025-09
2025-09-09,1,0.0,0.0,0.0,2025-09
2025-09-10,3,485.0,48.5,66.66666666666666,2025-09
2025-09-11,1,-242.5,-24.25,0.0,2025-09
2025-09-12,2,747.5,74.75,100.0,2025-09
2025-09-15,3,940.0,94.0,100.0,2025-09
2025-09-16,3,497.5,49.75,66.66666666666666,2025-09
2025-09-17,1,250.0,25.0,100.0,2025-09
2025-09-18,2,247.5,24.75,50.0,2025-09
2025-09-19,3,25.0,2.5,33.33333333333333,2025-09
2025-09-22,1,-277.5,-27.75,0.0,2025-09
2025-09-23,1,-245.0,-24.5,0.0,2025-09
2025-09-25,1,-277.5,-27.75,0.0,2025-09
2025-09-29,4,1040.0,104.0,75.0,2025-09
2025-10-01,2,-267.5,-26.75,0.0,2025-10
2025-10-02,4,1043.9107142857392,104.39107142857392,75.0,2025-10
2025-10-03,2,306.18750000001455,30.618750000001455,50.0,2025-10
2025-10-06,1,-265.0,-26.5,0.0,2025-10
2025-10-07,2,257.5,25.75,50.0,2025-10
2025-10-09,1,-255.0,-25.5,0.0,2025-10
2025-10-17,2,360.0,36.0,50.0,2025-10
2025-10-21,1,-295.14285714285506,-29.514285714285506,0.0,2025-10
2025-10-22,1,-270.0,-27.0,0.0,2025-10
2025-10-24,4,3070.0,307.0,100.0,2025-10
2025-10-26,1,295.0,29.5,100.0,2025-10
2025-10-27,4,1185.0,118.5,75.0,2025-10
