exit_month_et,trades,gross_pnl_dollars_dynamic,gross_pnl_dollars_5_mnq,gross_pnl_dollars_10_mnq,avg_trade_dollars_dynamic,gross_points,avg_points_per_trade,win_rate_pct,cumulative_pnl_dollars_dynamic
2025-04,11,73.75,1055.0,2110.0,6.704545454545454,105.5,9.590909090909092,54.54545454545454,73.75
2025-05,20,792.25,4215.0,8430.0,39.6125,421.5,21.075,50.0,866.0
2025-06,28,1048.0714285714348,5708.928571428587,11417.857142857174,37.431122448979814,570.8928571428587,20.389030612244955,53.57142857142857,1914.0714285714348
2025-07,24,728.5,4120.0,8240.0,30.354166666666668,412.0,17.166666666666668,62.5,2642.571428571435
2025-08,7,162.7928571428638,1106.3571428571595,2212.714285714319,23.25612244898054,110.63571428571595,15.805102040816564,57.14285714285714,2805.3642857142986
2025-09,27,900.5,5002.5,10005.0,33.351851851851855,500.25,18.52777777777778,62.96296296296296,3705.8642857142986
2025-10,26,520.202678571437,4111.508928571457,8223.017857142913,20.007795329670653,411.15089285714566,15.813495879120987,53.84615384615385,4226.066964285736
2025-11,15,302.5696428571391,2578.267857142855,5156.53571428571,20.171309523809274,257.8267857142855,17.188452380952366,66.66666666666666,4528.636607142875
2025-12,25,-27.27946428571522,1647.4017857142826,3294.803571428565,-1.0911785714286089,164.74017857142826,6.589607142857131,56.00000000000001,4501.3571428571595
2026-01,28,575.4044642857152,5146.348214285717,10292.696428571435,20.550159438775545,514.6348214285717,18.37981505102042,57.14285714285714,5076.761607142875
2026-02,11,1116.5,6977.5,13955.0,101.5,697.75,63.43181818181818,54.54545454545454,6193.261607142875
2026-03,23,2168.496428571423,9443.741071428558,18887.482142857116,94.28245341614884,944.3741071428558,41.059743788819816,65.21739130434783,8361.758035714298
2026-04,2,21.75,217.5,435.0,10.875,21.75,10.875,50.0,8383.508035714298
