calendar_exit_date_et,trades,gross_pnl_dollars,gross_points,avg_trade_dollars,win_rate_pct,cumulative_pnl_dollars
2025-04-23,1,-670.0,-33.5,-670.0,0.0,-670.0
2025-05-28,1,-545.0,-27.25,-545.0,0.0,-1215.0
2025-06-02,2,-1030.0,-51.5,-515.0,0.0,-2245.0
2025-06-11,1,-395.0,-19.75,-395.0,0.0,-2640.0
2025-06-12,1,-530.0,-26.5,-530.0,0.0,-3170.0
2025-06-23,2,1495.0,74.75,747.5,100.0,-1675.0
2025-09-02,2,575.0,28.75,287.5,50.0,-1100.0
2025-09-15,1,3555.0,177.75,3555.0,100.0,2455.0
2025-11-17,1,-525.839285714319,-26.29196428571595,-525.839285714319,0.0,1929.160714285681
2025-12-08,1,-530.0,-26.5,-530.0,0.0,1399.160714285681
2026-01-13,2,1850.0,92.5,925.0,50.0,3249.160714285681
2026-01-27,1,985.0,49.25,985.0,100.0,4234.160714285681
2026-02-04,2,8445.0,422.25,4222.5,100.0,12679.160714285681
2026-02-20,1,-500.0,-25.0,-500.0,0.0,12179.160714285681
2026-02-25,2,6005.0,300.25,3002.5,100.0,18184.16071428568
